Date,Open,High,Low,Close,Adj Close,Volume,dates
2008-01-02,10.07,10.08,9.64,9.655,8.599454,45448600,2008-01-02
2008-01-03,9.655,9.7,9.24,9.35,8.327799,47940200,2008-01-03
2008-01-04,9.235,9.27,9.0,9.055,8.065048,40105800,2008-01-04
2008-01-07,9.15,9.405,9.055,9.19,8.18529,50480800,2008-01-07
2008-01-08,10.09,10.505,9.915,9.93,8.844389,126297600,2008-01-08
2008-01-09,10.0,10.085,9.51,9.73,8.666255,48409600,2008-01-09
2008-01-10,9.72,10.245,9.59,10.155,9.044791,45485000,2008-01-10
2008-01-11,9.985,10.035,9.76,9.895,8.813213,36160800,2008-01-11
2008-01-14,9.95,9.98,9.715,9.775,8.70633,23197400,2008-01-14
2008-01-15,9.63,9.7,9.41,9.42,8.390143,29007200,2008-01-15
2008-01-16,9.49,9.885,9.42,9.65,8.594998,33159800,2008-01-16
2008-01-17,9.635,9.74,9.505,9.525,8.483664,23452200,2008-01-17
2008-01-18,9.375,9.675,9.195,9.33,8.309985,39570200,2008-01-18
2008-01-22,8.895,9.435,8.83,9.335,8.314435,43731800,2008-01-22
2008-01-23,9.06,10.095,9.055,9.985,8.893375,52041600,2008-01-23
2008-01-24,10.05,10.24,9.96,10.225,9.107137,41792800,2008-01-24
2008-01-25,10.315,10.34,9.735,9.83,8.75532,35492000,2008-01-25
2008-01-28,9.725,9.9,9.58,9.83,8.75532,27001400,2008-01-28
2008-01-29,9.93,10.185,9.83,9.985,8.893375,21244200,2008-01-29
2008-01-30,10.0,10.095,9.475,9.61,8.559374,45354600,2008-01-30
2008-01-31,9.085,9.59,9.04,9.455,8.42132,87545200,2008-01-31
2008-02-01,9.485,9.66,9.32,9.61,8.559374,31496400,2008-02-01
2008-02-04,9.665,9.675,9.515,9.595,8.546014,20983600,2008-02-04
2008-02-05,9.45,9.56,9.25,9.255,8.243185,30507400,2008-02-05
2008-02-06,9.35,9.45,9.01,9.075,8.082863,29147200,2008-02-06
2008-02-07,9.005,9.385,9.005,9.265,8.25209,24914000,2008-02-07
2008-02-08,9.23,9.385,9.08,9.13,8.13185,21868400,2008-02-08
