Entity,Code,Year,suicide rate
Canada,CAN,1950,8.201165
Canada,CAN,1951,7.869432
Canada,CAN,1952,7.786166
Canada,CAN,1953,7.629456
Canada,CAN,1954,7.803952
Canada,CAN,1955,7.667578
Canada,CAN,1956,8.347555
Canada,CAN,1957,8.257942
Canada,CAN,1958,8.249329
Canada,CAN,1959,8.147938
Canada,CAN,1960,8.403479
Canada,CAN,1961,8.312451
Canada,CAN,1962,8.002673
Canada,CAN,1963,8.473262
Canada,CAN,1964,9.206102
Canada,CAN,1965,9.751631
Canada,CAN,1966,9.506003
Canada,CAN,1967,9.95408
Canada,CAN,1968,10.67558
Canada,CAN,1969,11.75264
Canada,CAN,1970,12.15343
Canada,CAN,1971,12.61654
Canada,CAN,1972,12.78639
Canada,CAN,1973,13.05484
Canada,CAN,1974,13.28622
Canada,CAN,1975,12.50456
Canada,CAN,1976,12.90813
Canada,CAN,1977,14.12873
Canada,CAN,1978,14.53326
Canada,CAN,1979,13.82573
Canada,CAN,1980,13.54163
Canada,CAN,1981,13.4263
Canada,CAN,1982,13.84684
Canada,CAN,1983,14.30516
Canada,CAN,1984,12.95502
Canada,CAN,1985,12.08838
Canada,CAN,1986,13.58978
Canada,CAN,1987,13.16523
Canada,CAN,1988,12.67723
Canada,CAN,1989,12.47078
Canada,CAN,1990,11.86393
Canada,CAN,1991,12.32333
Canada,CAN,1992,12.22278
Canada,CAN,1993,12.2041
Canada,CAN,1994,11.94806
Canada,CAN,1995,12.46905
Canada,CAN,1996,12.25137
Canada,CAN,1997,11.30162
Canada,CAN,1998,11.27126
Canada,CAN,1999,12.13107
Canada,CAN,2000,10.69649
Canada,CAN,2001,10.76762
Canada,CAN,2002,10.46119
Canada,CAN,2003,10.61292
Canada,CAN,2004,10.10099
Canada,CAN,2005,10.10099
