Entity,Code,Year,GDP,Growth_Rate_Per_Year(%),Growth_Rate_Per_Three_Year(%),Growth_Rate_Per_Five_Year(%)
Germany,DEU,1950,4714.102051,,,
Germany,DEU,1951,5148.626465,9.21754364456,,
Germany,DEU,1952,5660.220215,9.93650934823,,
Germany,DEU,1953,6145.162109,8.56754464632,30.3570020869,
Germany,DEU,1954,6625.576172,7.81776061361,28.6862858869,
Germany,DEU,1955,7493.590332,13.1009611461,32.3904379575,58.9611393841
Germany,DEU,1956,8018.647461,7.00674984537,30.4871591468,55.7434301267
Germany,DEU,1957,8424.272461,5.05852142737,27.1477716399,48.8329453804
Germany,DEU,1958,8731.707031,3.64939015711,16.5223430178,42.0907516534
Germany,DEU,1959,9416.140625,7.83848555122,17.4280409607,42.1180646114
Germany,DEU,1960,10265.41895,9.01938871585,21.8552580953,36.9893268139
Germany,DEU,1961,10618.66211,3.44109832945,21.6103801044,32.4246035462
Germany,DEU,1962,10957.72656,3.19309953069,16.3717386602,30.0732687687
Germany,DEU,1963,11091.65625,1.22223975262,8.04874407975,27.0273522763
Germany,DEU,1964,11829.16992,6.64926547827,11.399814755,25.6265214285
Germany,DEU,1965,12322.29004,4.16867898031,12.4529798451,20.0368937694
Germany,DEU,1966,12591.02148,2.18085631102,13.5179561664,18.574462108
Germany,DEU,1967,12428.88965,-1.28767813046,5.06983781665,13.4258058179
Germany,DEU,1968,13073.0,5.18236437959,6.09229256545,17.8633713969
Germany,DEU,1969,14037.73828,7.37962426375,11.4900669679,18.670526968
Germany,DEU,1970,14921.34766,6.29452809545,20.053746394,21.0923262767
Germany,DEU,1971,15437.61426,3.45991938372,18.0877706724,22.6081163035
Germany,DEU,1972,16188.66016,4.86503864749,15.3224247176,30.2502525638
Germany,DEU,1973,17008.78711,5.06605822776,13.9896174097,30.1062274153
Germany,DEU,1974,17031.67969,0.134592665849,10.3258534846,21.3278047381
Germany,DEU,1975,17137.25195,0.619858181469,5.85960654325,14.8505640408
Germany,DEU,1976,18052.75195,5.3421633916,6.13779708834,16.9400377931
Germany,DEU,1977,18752.85156,3.87807693774,10.1057083114,15.8394294195
Germany,DEU,1978,19577.95508,4.39988295839,14.2420916558,15.1049451874
Germany,DEU,1979,20402.54492,4.21182823554,13.0162591084,19.7917368771
Germany,DEU,1980,20445.14844,0.208814734471,9.02421092912,19.3023741476
Germany,DEU,1981,19771.8418,-3.29323429456,0.99033182581,9.52259165119
Germany,DEU,1982,19429.07227,-1.73362468437,-4.77132952687,3.60596204709
Germany,DEU,1983,19562.45898,0.686531544823,-4.31735412727,-0.0791507587829
Germany,DEU,1984,19703.06445,0.718751513518,-0.347855049093,-3.4283981373
Germany,DEU,1985,19825.18945,0.619827440091,2.03878586942,-3.0323036872
Germany,DEU,1986,21184.08203,6.85437374219,8.28946428288,7.14268424907
Germany,DEU,1987,21937.66211,3.55729400468,11.3413711135,12.9115266295
Germany,DEU,1988,23041.42773,5.03137305363,16.2229888804,17.7839031052
Germany,DEU,1989,24109.99414,4.63758766393,13.8118428066,22.3667221979
Germany,DEU,1990,25732.18945,6.72831067723,17.2968629062,29.7954277557
Germany,DEU,1991,27169.25195,5.58468801418,17.9147935986,28.253147394
Germany,DEU,1992,28052.89648,3.25236974366,16.3538087861,27.8755062383
Germany,DEU,1993,28032.29688,-0.0734312765695,8.93863864351,21.6604162228
Germany,DEU,1994,29033.86719,3.57291560619,6.86296127487,20.4225393893
Germany,DEU,1995,29949.68555,3.15431063319,6.76147317391,16.3899621064
Germany,DEU,1996,30230.04883,0.936114269153,7.84007089896,11.2656648981
Germany,DEU,1997,31291.78125,3.51217566988,7.77682850591,11.5456340571
Germany,DEU,1998,32560.69727,4.05510958249,8.71799376872,16.154225283
Germany,DEU,1999,33780.39063,3.74590675957,11.7444130506,16.3482301856
Germany,DEU,2000,34148.80078,1.09060358134,9.1302553446,14.0205653344
Germany,DEU,2001,34665.03516,1.51172037732,6.46281580689,14.6707878474
Germany,DEU,2002,34588.82813,-0.219838317337,2.39321536821,10.5364627653
Germany,DEU,2003,34673.37109,0.24442273581,1.53613098562,6.48841700926
Germany,DEU,2004,35385.13672,2.05277308674,2.07731380244,4.75052555661
Germany,DEU,2005,35778.16797,1.1107241244,3.43850862923,4.77137455133
Germany,DEU,2006,37397.69141,4.52656894383,7.85709677011,7.88303325638
Germany,DEU,2007,39480.64063,5.56972674373,11.574079655,14.142752919
Germany,DEU,2008,40394.82422,2.31552369823,12.9035568671,16.50100048
Germany,DEU,2009,38725.64063,-4.13217193596,3.55088554917,9.44041543893
Germany,DEU,2010,40758.49609,5.24937851751,3.23666343709,13.9200199523
Germany,DEU,2011,42815.42969,5.0466376273,5.99236540012,14.4868254583
Germany,DEU,2012,43547.5,1.70982824487,12.4513353209,10.3008950845
Germany,DEU,2013,44522.47266,2.23887171479,9.23482692219,10.2182606799
Germany,DEU,2014,45961.05469,3.231136871,7.34694249894,18.6837814489
