Entity,Code,Year,GDP,Growth_Rate_Per_Year(%),Growth_Rate_Per_Three_Year(%),Growth_Rate_Per_Five_Year(%)
Italy,ITA,1950,4335.140625,,,
Italy,ITA,1951,4642.063477,7.07988225872,,
Italy,ITA,1952,4758.085938,2.49937256513,,
Italy,ITA,1953,5108.65332,7.36782367044,17.8428512916,
Italy,ITA,1954,5325.839355,4.25133633848,14.7299984455,
Italy,ITA,1955,5658.458496,6.24538441415,18.9229990743,30.52537358
Italy,ITA,1956,5851.608887,3.41348074103,14.5430805432,26.0562014284
Italy,ITA,1957,6104.677246,4.32476544292,14.6237586057,28.3011136315
Italy,ITA,1958,6390.27002,4.67826164253,12.9330545504,25.0871730713
Italy,ITA,1959,6784.51709,6.16949000224,15.9427641357,27.3886919558
Italy,ITA,1960,7205.506348,6.20514699006,18.0325520521,27.340447104
Italy,ITA,1961,7792.530762,8.1468863623,21.9436852842,33.1690294495
Italy,ITA,1962,8206.080078,5.30699625873,20.9530460185,34.4228326465
Italy,ITA,1963,8579.744141,4.55350251823,19.0720502714,34.2626229275
Italy,ITA,1964,8743.714844,1.91113744542,12.2063564592,28.8774827745
Italy,ITA,1965,8917.039063,1.98227209021,8.66380754565,23.75312202
Italy,ITA,1966,9354.580078,4.90679710954,9.03099118419,20.045468715
Italy,ITA,1967,9983.200195,6.71991806964,14.1757293452,21.6561391079
Italy,ITA,1968,10559.16406,5.7693310136,18.4155859966,23.070850208
Italy,ITA,1969,11174.81152,5.83045643104,19.4581844062,27.8039336755
Italy,ITA,1970,12683.71191,13.5026920794,27.0505615659,42.2412957977
Italy,ITA,1971,12901.12793,1.71413559014,22.1794439095,37.9124217488
Italy,ITA,1972,13493.41895,4.59100183498,20.7485148707,35.1612577774
Italy,ITA,1973,14323.85938,6.15441077667,12.9311315302,35.6533462176
Italy,ITA,1974,14864.90234,3.77721496453,15.2217265084,33.021503883
Italy,ITA,1975,14653.56348,-1.42173056483,8.59785451188,15.5305606433
Italy,ITA,1976,15916.03418,8.61545180954,11.1155433585,23.3693229488
Italy,ITA,1977,16723.21094,5.071469129,12.5013172471,23.9360535826
Italy,ITA,1978,17691.28516,5.78880589065,20.7302591219,23.5092071952
Italy,ITA,1979,19174.12695,8.38176410922,20.4705062401,28.989256111
Italy,ITA,1980,20234.98047,5.53273441219,20.999373521,38.0891446481
Italy,ITA,1981,19744.39844,-2.42442551762,11.6052240492,24.053506148
Italy,ITA,1982,19562.37891,-0.92187933987,2.02487425379,16.9774093037
Italy,ITA,1983,19399.13672,-0.834470034299,-4.13068720891,9.65363196938
Italy,ITA,1984,19650.69922,1.29677162253,-0.47456102694,2.48549658215
Italy,ITA,1985,19841.08008,0.968824864035,1.4246793362,-1.94663093737
Italy,ITA,1986,21120.47852,6.44822980826,8.87329072858,6.96947078019
Italy,ITA,1987,22148.99023,4.86973677716,12.7134967669,13.2223761328
Italy,ITA,1988,23285.51758,5.13128290815,17.3601310317,20.0337825136
Italy,ITA,1989,24359.55078,4.61245147895,15.336168908,23.9627684862
Italy,ITA,1990,25456.48438,4.50309453531,14.9329342586,28.3019083505
Italy,ITA,1991,26349.20117,3.50683455215,13.1570345365,24.7566486008
Italy,ITA,1992,26789.6875,1.67172555691,9.97611467448,20.9521843741
Italy,ITA,1993,26532.36719,-0.960520013531,4.22636053722,13.9436437212
Italy,ITA,1994,27489.12695,3.60600979607,4.32622519615,12.8474297341
Italy,ITA,1995,28625.39648,4.13352352756,6.85229710126,12.4483493192
Italy,ITA,1996,29066.90039,1.54235037516,9.55260863778,10.3141617177
Italy,ITA,1997,30342.23047,4.38756820606,10.3790255878,13.2608600604
Italy,ITA,1998,32135.9043,5.9114765204,12.2636129161,21.1196274719
Italy,ITA,1999,32874.83984,2.29940795536,13.1006037758,19.5921569273
Italy,ITA,2000,33787.47266,2.77608293893,11.3546108399,18.0332041291
Italy,ITA,2001,34487.75781,2.07261773334,7.31846064777,18.64958887
Italy,ITA,2002,33182.07422,-3.78593353964,0.934557800115,9.3593770333
Italy,ITA,2003,32682.02734,-1.50697896908,-3.27176090122,1.69941705981
Italy,ITA,2004,32649.52148,-0.0994609656917,-5.33011261598,-0.685382380862
Italy,ITA,2005,32515.82227,-0.409498222147,-2.0078670959,-3.76367419604
Italy,ITA,2006,33838.42969,4.06758103491,3.53834337745,-1.88277858937
Italy,ITA,2007,35671.64063,5.41754140719,9.25624331692,7.50274498663
Italy,ITA,2008,36437.11328,2.14588574139,12.0596396961,11.4897582727
Italy,ITA,2009,35510.82031,-2.54216892233,4.94228200103,8.76367769051
Italy,ITA,2010,35517.34375,0.0183702881067,-0.432547752991,9.23095671724
Italy,ITA,2011,36095.05469,1.62656009432,-0.938764241205,6.66882305318
Italy,ITA,2012,36148.66406,0.148522755985,1.79619548192,1.33726237867
Italy,ITA,2013,35947.33594,-0.556944842182,1.21065413288,-1.34417163137
Italy,ITA,2014,35806.52344,-0.391718875176,-0.799365044542,0.832712754644
