Entity,Code,Year,GDP,Growth_Rate_Per_Year(%),Growth_Rate_Per_Three_Year(%),Growth_Rate_Per_Five_Year(%)
Japan,JPN,1950,2616.074951,,,
Japan,JPN,1951,2877.574707,9.99588165087,,
Japan,JPN,1952,3094.870605,7.55135557285,,
Japan,JPN,1953,3199.848145,3.3919847838,22.3148497247,
Japan,JPN,1954,3357.924072,4.94010714999,16.6928547096,
Japan,JPN,1955,3602.462646,7.28243309725,16.401074739,37.7048713617
Japan,JPN,1956,3815.420898,5.91146315525,19.2375614437,32.5915497074
Japan,JPN,1957,4046.81543,6.06471836754,20.5153941313,30.7587924181
Japan,JPN,1958,4358.176758,7.69398390872,20.9777084806,36.1994869916
Japan,JPN,1959,4749.46875,8.97834148837,24.480860093,41.4406236759
Japan,JPN,1960,5351.014648,12.6655407092,32.2277909769,48.5376858506
Japan,JPN,1961,5894.798828,10.1622629683,35.2583696193,54.499306514
Japan,JPN,1962,6401.463867,8.59512010136,34.7827347427,58.1852194084
Japan,JPN,1963,6869.083984,7.30489348555,28.3697473444,57.6137078743
Japan,JPN,1964,7593.875,10.5514944596,28.8233105417,59.8889349467
Japan,JPN,1965,7996.004395,5.29544395977,24.9089983343,49.4296861622
Japan,JPN,1966,8735.12793,9.24366093973,27.1658339066,48.1836477355
Japan,JPN,1967,9574.462891,9.60873117974,26.0813865253,49.5667723809
Japan,JPN,1968,10671.72461,11.4602952823,33.4632159116,55.3587732346
Japan,JPN,1969,11833.99902,10.8911582005,35.4759668643,55.8361050188
Japan,JPN,1970,12955.73828,9.4789534637,35.3155621103,62.0276533127
Japan,JPN,1971,13601.49023,4.98429295223,27.4535347104,55.7102579264
Japan,JPN,1972,14655.63477,7.75021355877,23.8434678356,53.0700461932
Japan,JPN,1973,15607.99707,6.4982671508,20.4716916372,46.2556207211
Japan,JPN,1974,14984.57617,-3.99424024238,10.1686353231,26.6230979458
Japan,JPN,1975,15304.70898,2.13641551398,4.42883723691,18.1307359661
Japan,JPN,1976,16087.06738,5.1118802783,3.06939005595,18.2743001537
Japan,JPN,1977,16988.58008,5.60395924692,13.3737777249,15.9184187284
Japan,JPN,1978,18250.85352,7.43012914591,19.2499219936,16.9327072407
Japan,JPN,1979,19103.2168,4.67026530604,18.7489077329,27.485866689
Japan,JPN,1980,19459.26758,1.86382630594,14.5432254395,27.1456229937
Japan,JPN,1981,19224.29492,-1.20751029829,5.33367603292,19.5015503192
Japan,JPN,1982,18763.09375,-2.39905375942,-1.78044909169,10.4453324624
Japan,JPN,1983,18361.60938,-2.1397557106,-5.64079914872,0.606853043221
Japan,JPN,1984,18383.41016,0.118730224289,-4.37407334573,-3.76798655188
Japan,JPN,1985,18731.86914,1.89550783542,-0.166415040164,-3.73805662011
Japan,JPN,1986,19988.53125,6.70868507893,8.8604535492,3.97536727969
Japan,JPN,1987,21228.26367,6.20221868478,15.4751130788,13.1383979254
Japan,JPN,1988,23331.52734,9.90784598635,24.5552548207,27.0668973353
Japan,JPN,1989,25167.91797,7.87085475905,25.9117923935,36.9055999456
Japan,JPN,1990,27080.92969,7.60099314643,27.5701588739,44.5714225719
Japan,JPN,1991,28689.93555,5.94147201894,22.9663842059,43.5319843723
Japan,JPN,1992,29601.92578,3.17878103424,17.6176981159,39.4458173319
Japan,JPN,1993,30338.01367,2.48662163222,12.0272236488,30.0301228801
Japan,JPN,1994,31357.3457,3.35991683928,9.29737240208,24.5925298127
Japan,JPN,1995,32830.05469,4.69653587421,10.9051314228,21.2294225708
Japan,JPN,1996,33539.40234,2.16066545334,10.5524003807,16.903024343
Japan,JPN,1997,33751.36719,0.631987558548,7.63464329189,14.0174711633
Japan,JPN,1998,32906.90625,-2.50200513433,0.234089040441,8.46757011828
Japan,JPN,1999,32495.96094,-1.2488117445,-3.11109121571,3.6310957276
Japan,JPN,2000,33155.53125,2.02969935623,-1.76536830833,0.991398165715
Japan,JPN,2001,33278.90234,0.372098064331,1.13044990366,-0.776698395992
Japan,JPN,2002,33293.59766,0.0441580670235,2.45457188194,-1.35629922019
Japan,JPN,2003,33695.30469,1.2065593935,1.62800419613,2.39584491477
Japan,JPN,2004,34279.85547,1.73481375336,3.00777086868,5.48958848545
Japan,JPN,2005,34359.41406,0.232085546771,3.20126533301,3.63101649894
Japan,JPN,2006,34749.03516,1.13395734665,3.12723235387,4.41761211046
Japan,JPN,2007,35470.29688,2.07563092523,3.47271420395,6.53789128537
Japan,JPN,2008,34651.60938,-2.30809317094,0.850408332021,2.83809479925
Japan,JPN,2009,33380.01172,-3.66966407261,-3.93974518629,-2.62499283519
Japan,JPN,2010,34847.5625,4.39649570021,-1.75565031809,1.42071235309
Japan,JPN,2011,34450.61719,-1.13909060354,-0.580037099564,-0.858780592399
Japan,JPN,2012,35011.57031,1.62828177187,4.88783108792,-1.29326960965
Japan,JPN,2013,35418.31641,1.16174766341,1.63785891768,2.21261593247
Japan,JPN,2014,35358.46094,-0.168995808008,2.63520315178,5.92704770926
