Entity,Code,Year,suicide rate
Japan,JPN,1950,24.59151
Japan,JPN,1951,22.29591
Japan,JPN,1952,22.08236
Japan,JPN,1953,23.71347
Japan,JPN,1954,26.39625
Japan,JPN,1955,28.07184
Japan,JPN,1956,27.20567
Japan,JPN,1957,26.59276
Japan,JPN,1958,27.66998
Japan,JPN,1959,24.61028
Japan,JPN,1960,23.21706
Japan,JPN,1961,21.11743
Japan,JPN,1962,18.91668
Japan,JPN,1963,17.30252
Japan,JPN,1964,16.28279
Japan,JPN,1965,15.84236
Japan,JPN,1966,16.12502
Japan,JPN,1967,14.90673
Japan,JPN,1968,15.12224
Japan,JPN,1969,15.03189
Japan,JPN,1970,15.5977
Japan,JPN,1971,15.73448
Japan,JPN,1972,16.93228
Japan,JPN,1973,17.40054
Japan,JPN,1974,17.45248
Japan,JPN,1975,17.71988
Japan,JPN,1976,17.25519
Japan,JPN,1977,17.36071
Japan,JPN,1978,17.03292
Japan,JPN,1979,17.21527
Japan,JPN,1980,16.62432
Japan,JPN,1981,15.94026
Japan,JPN,1982,16.10316
Japan,JPN,1983,19.1621
Japan,JPN,1984,18.27207
Japan,JPN,1985,17.23945
Japan,JPN,1986,18.65963
Japan,JPN,1987,16.91342
Japan,JPN,1988,15.85286
Japan,JPN,1989,14.41714
Japan,JPN,1990,13.47138
Japan,JPN,1991,13.14442
Japan,JPN,1992,13.60945
Japan,JPN,1993,13.2138
Japan,JPN,1994,13.42681
Japan,JPN,1995,13.55417
Japan,JPN,1996,13.8193
Japan,JPN,1997,14.50057
Japan,JPN,1998,19.48383
Japan,JPN,1999,19.21572
Japan,JPN,2000,18.35094
Japan,JPN,2001,17.73354
Japan,JPN,2002,18.02855
Japan,JPN,2003,19.64956
Japan,JPN,2004,18.53678
Japan,JPN,2005,18.94693
