,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,3.7,3.4,3.4,3.1,3,3.2,3.1,3.1,3.3,3.5,3.5,3.1,3.28333333333
1,1952,3.2,3.1,2.9,2.9,3,3,3.2,3.4,3.1,3,2.8,2.7,3.025
2,1953,2.9,2.6,2.6,2.7,2.5,2.5,2.6,2.7,2.9,3.1,3.5,4.5,2.925
3,1954,4.9,5.2,5.7,5.9,5.9,5.6,5.8,6,6.1,5.7,5.3,5,5.59166666667
4,1955,4.9,4.7,4.6,4.7,4.3,4.2,4,4.2,4.1,4.3,4.2,4.2,4.36666666667
5,1956,4,3.9,4.2,4,4.3,4.3,4.4,4.1,3.9,3.9,4.3,4.2,4.125
6,1957,4.2,3.9,3.7,3.9,4.1,4.3,4.2,4.1,4.4,4.5,5.1,5.2,4.3
7,1958,5.8,6.4,6.7,7.4,7.4,7.3,7.5,7.4,7.1,6.7,6.2,6.2,6.84166666667
8,1959,6,5.9,5.6,5.2,5.1,5,5.1,5.2,5.5,5.7,5.8,5.3,5.45
9,1960,5.2,4.8,5.4,5.2,5.1,5.4,5.5,5.6,5.5,6.1,6.1,6.6,5.54166666667
10,1961,6.6,6.9,6.9,7,7.1,6.9,7,6.6,6.7,6.5,6.1,6,6.69166666667
11,1962,5.8,5.5,5.6,5.6,5.5,5.5,5.4,5.7,5.6,5.4,5.7,5.5,5.56666666667
12,1963,5.7,5.9,5.7,5.7,5.9,5.6,5.6,5.4,5.5,5.5,5.7,5.5,5.64166666667
13,1964,5.6,5.4,5.4,5.3,5.1,5.2,4.9,5,5.1,5.1,4.8,5,5.15833333333
14,1965,4.9,5.1,4.7,4.8,4.6,4.6,4.4,4.4,4.3,4.2,4.1,4,4.50833333333
15,1966,4,3.8,3.8,3.8,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.8,3.79166666667
16,1967,3.9,3.8,3.8,3.8,3.8,3.9,3.8,3.8,3.8,4,3.9,3.8,3.84166666667
17,1968,3.7,3.8,3.7,3.5,3.5,3.7,3.7,3.5,3.4,3.4,3.4,3.4,3.55833333333
18,1969,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.7,3.7,3.5,3.5,3.49166666667
19,1970,3.9,4.2,4.4,4.6,4.8,4.9,5,5.1,5.4,5.5,5.9,6.1,4.98333333333
20,1971,5.9,5.9,6,5.9,5.9,5.9,6,6.1,6,5.8,6,6,5.95
21,1972,5.8,5.7,5.8,5.7,5.7,5.7,5.6,5.6,5.5,5.6,5.3,5.2,5.6
22,1973,4.9,5,4.9,5,4.9,4.9,4.8,4.8,4.8,4.6,4.8,4.9,4.85833333333
23,1974,5.1,5.2,5.1,5.1,5.1,5.4,5.5,5.5,5.9,6,6.6,7.2,5.64166666667
24,1975,8.1,8.1,8.6,8.8,9,8.8,8.6,8.4,8.4,8.4,8.3,8.2,8.475
25,1976,7.9,7.7,7.6,7.7,7.4,7.6,7.8,7.8,7.6,7.7,7.8,7.8,7.7
26,1977,7.5,7.6,7.4,7.2,7,7.2,6.9,7,6.8,6.8,6.8,6.4,7.05
27,1978,6.4,6.3,6.3,6.1,6,5.9,6.2,5.9,6,5.8,5.9,6,6.06666666667
28,1979,5.9,5.9,5.8,5.8,5.6,5.7,5.7,6,5.9,6,5.9,6,5.85
29,1980,6.3,6.3,6.3,6.9,7.5,7.6,7.8,7.7,7.5,7.5,7.5,7.2,7.175
30,1981,7.5,7.4,7.4,7.2,7.5,7.5,7.2,7.4,7.6,7.9,8.3,8.5,7.61666666667
31,1982,8.6,8.9,9,9.3,9.4,9.6,9.8,9.8,10.1,10.4,10.8,10.8,9.70833333333
32,1983,10.4,10.4,10.3,10.2,10.1,10.1,9.4,9.5,9.2,8.8,8.5,8.3,9.6
33,1984,8,7.8,7.8,7.7,7.4,7.2,7.5,7.5,7.3,7.4,7.2,7.3,7.50833333333
34,1985,7.3,7.2,7.2,7.3,7.2,7.4,7.4,7.1,7.1,7.1,7,7,7.19166666667
35,1986,6.7,7.2,7.2,7.1,7.2,7.2,7,6.9,7,7,6.9,6.6,7.0
36,1987,6.6,6.6,6.6,6.3,6.3,6.2,6.1,6,5.9,6,5.8,5.7,6.175
37,1988,5.7,5.7,5.7,5.4,5.6,5.4,5.4,5.6,5.4,5.4,5.3,5.3,5.49166666667
38,1989,5.4,5.2,5,5.2,5.2,5.3,5.2,5.2,5.3,5.3,5.4,5.4,5.25833333333
39,1990,5.4,5.3,5.2,5.4,5.4,5.2,5.5,5.7,5.9,5.9,6.2,6.3,5.61666666667
40,1991,6.4,6.6,6.8,6.7,6.9,6.9,6.8,6.9,6.9,7,7,7.3,6.85
41,1992,7.3,7.4,7.4,7.4,7.6,7.8,7.7,7.6,7.6,7.3,7.4,7.4,7.49166666667
42,1993,7.3,7.1,7,7.1,7.1,7,6.9,6.8,6.7,6.8,6.6,6.5,6.90833333333
