Entity,Code,Year,GDP,Growth_Rate_Per_Year(%),Growth_Rate_Per_Three_Year(%),Growth_Rate_Per_Five_Year(%)
United Kingdom,GBR,1950,9263.111328,,,
United Kingdom,GBR,1951,9367.326172,1.1250522671,,
United Kingdom,GBR,1952,9452.630859,0.910662076175,,
United Kingdom,GBR,1953,9990.262695,5.68764235079,7.84996899262,
United Kingdom,GBR,1954,10330.19531,3.40263940377,10.279017943,
United Kingdom,GBR,1955,10697.69238,3.55750359961,13.1715872499,15.4870323934
United Kingdom,GBR,1956,10934.8623,2.21701944284,9.45520286942,16.7340829092
United Kingdom,GBR,1957,11097.19336,1.48452770183,7.42481654009,17.3979342421
United Kingdom,GBR,1958,11168.83789,0.645609458859,4.40417889451,11.7972392817
United Kingdom,GBR,1959,11499.9248,2.96438101493,5.16753192219,11.3234014934
United Kingdom,GBR,1960,11959.48535,3.99620482736,7.7703610456,11.7950014375
United Kingdom,GBR,1961,12190.52637,1.93186423361,9.1476704207,11.4831264953
United Kingdom,GBR,1962,12264.29883,0.605162219915,6.64677415978,10.517122953
United Kingdom,GBR,1963,12632.99805,3.00628046585,5.63161942416,13.1093330785
United Kingdom,GBR,1964,13318.97363,5.43002996822,9.2567558262,15.8179193485
United Kingdom,GBR,1965,13607.26172,2.16449178449,10.9501807532,13.7779872777
United Kingdom,GBR,1966,13852.23438,1.80030828422,9.65120334203,13.6311424098
United Kingdom,GBR,1967,14120.2373,1.93472700972,6.01595657638,15.1328542767
United Kingdom,GBR,1968,14570.47656,3.18860972684,7.07868239636,15.3366485321
United Kingdom,GBR,1969,14809.62305,1.64130863541,6.91143857183,11.1919241032
United Kingdom,GBR,1970,15175.52246,2.47068685519,7.47356533449,11.5251751033
United Kingdom,GBR,1971,15388.14844,1.40111143165,5.61184033091,11.0878434328
United Kingdom,GBR,1972,15848.9873,2.99476484645,7.0181681633,12.2430661983
United Kingdom,GBR,1973,16586.37109,4.65256092419,9.29687023112,13.8354742324
United Kingdom,GBR,1974,15500.81934,-6.54484181084,0.732192702971,4.66721055402
United Kingdom,GBR,1975,15429.04492,-0.463036297796,-2.64964803145,1.67060119787
United Kingdom,GBR,1976,16139.63672,4.60554625179,-2.69338222072,4.88355231905
United Kingdom,GBR,1977,16974.59766,5.17335646697,9.50774464029,7.10209642227
United Kingdom,GBR,1978,18300.08008,7.80862348875,18.6079901568,10.3320309229
United Kingdom,GBR,1979,19429.22656,6.17017234386,20.3820562821,25.3432230506
United Kingdom,GBR,1980,19853.64648,2.18444063478,16.9609252465,28.6770929953
United Kingdom,GBR,1981,19455.65234,-2.00464000606,6.31457488136,20.545788468
United Kingdom,GBR,1982,19512.3418,0.291377842332,0.427784604515,14.9502461904
United Kingdom,GBR,1983,19977.97656,2.38636020613,0.626232969975,9.16879310181
United Kingdom,GBR,1984,20159.33984,0.907816061628,3.61687949447,3.75780928667
United Kingdom,GBR,1985,20704.80469,2.70576742259,6.11132637088,4.28716312068
United Kingdom,GBR,1986,21226.07227,2.51761650402,6.24735796567,9.09977161938
United Kingdom,GBR,1987,22342.61133,5.26022452858,10.8300743344,14.5050223034
United Kingdom,GBR,1988,23639.55078,5.80478007178,14.1742273542,18.3280534393
United Kingdom,GBR,1989,24345.85156,2.98779273165,14.6978642601,20.7671072229
United Kingdom,GBR,1990,24813.19727,1.91961126867,11.0577313614,19.8427014479
United Kingdom,GBR,1991,24472.04883,-1.37486691573,3.52163227528,15.2924032233
United Kingdom,GBR,1992,24643.07813,0.698876098148,1.22085099085,10.296320184
United Kingdom,GBR,1993,25440.125,3.23436409119,2.52658987545,7.61678695487
United Kingdom,GBR,1994,26320.4043,3.46020037244,7.55292490155,8.11042791062
United Kingdom,GBR,1995,27450.26953,4.29273508538,11.3913991799,10.6277003778
United Kingdom,GBR,1996,28832.85352,5.03668639206,13.3361314852,17.8195324809
United Kingdom,GBR,1997,30917.72266,7.23088035166,17.4667467399,25.4620972952
United Kingdom,GBR,1998,32304.81055,4.48638441212,17.6848573916,26.9836942625
United Kingdom,GBR,1999,33456.72266,3.56576030129,16.0368072372,27.1132550954
United Kingdom,GBR,2000,35483.43359,6.05770909062,14.7672937629,29.2644268983
United Kingdom,GBR,2001,36285.78125,2.26118945892,12.323151358,25.8487344127
United Kingdom,GBR,2002,36685.54688,1.10171426997,9.65074867856,18.655398017
United Kingdom,GBR,2003,36896.99609,0.5763828755,3.98372524016,14.2151755785
United Kingdom,GBR,2004,38253.51563,3.67650400778,5.42288001585,14.3373067911
United Kingdom,GBR,2005,38509.78125,0.669913904067,4.97262416713,8.52890307902
United Kingdom,GBR,2006,39642.64453,2.94175464837,7.44138745957,9.25118094295
United Kingdom,GBR,2007,40173.92969,1.34018596968,5.02022893418,9.50887503847
United Kingdom,GBR,2008,39244.97266,-2.31233796935,1.90910305418,6.36359817551
United Kingdom,GBR,2009,37349.27344,-4.83042563547,-5.78511125378,-2.3638146066
United Kingdom,GBR,2010,36491.05859,-2.29780868798,-9.16731603908,-5.24210367983
United Kingdom,GBR,2011,36483.28516,-0.0213022869173,-7.03704783776,-7.96959791017
United Kingdom,GBR,2012,37590.88672,3.03591509137,0.646902222578,-6.4296497503
United Kingdom,GBR,2013,39094.96094,4.00116717438,7.13572708114,-0.382244424782
United Kingdom,GBR,2014,40241.50781,2.93272289429,10.3012177591,7.74375002139
