Entity,Code,Year,suicide rate
United Kingdom,GBR,1950,8.116419
United Kingdom,GBR,1951,8.081386
United Kingdom,GBR,1952,7.789029
United Kingdom,GBR,1953,8.469019
United Kingdom,GBR,1954,8.928727
United Kingdom,GBR,1955,8.922245
United Kingdom,GBR,1956,9.326525
United Kingdom,GBR,1957,9.353084
United Kingdom,GBR,1958,9.39134
United Kingdom,GBR,1959,9.215195
United Kingdom,GBR,1960,9.088522
United Kingdom,GBR,1961,9.13943
United Kingdom,GBR,1962,9.843241
United Kingdom,GBR,1963,10.09012
United Kingdom,GBR,1964,9.696188
United Kingdom,GBR,1965,9.024946
United Kingdom,GBR,1966,8.776801
United Kingdom,GBR,1967,8.305869
United Kingdom,GBR,1968,8.011331
United Kingdom,GBR,1969,7.532174
United Kingdom,GBR,1970,6.953133
United Kingdom,GBR,1971,6.950485
United Kingdom,GBR,1972,6.809535
United Kingdom,GBR,1973,6.951233
United Kingdom,GBR,1974,7.0541
United Kingdom,GBR,1975,6.728405
United Kingdom,GBR,1976,6.939591
United Kingdom,GBR,1977,7.156529
United Kingdom,GBR,1978,7.268871
United Kingdom,GBR,1979,7.647055
United Kingdom,GBR,1980,7.817475
United Kingdom,GBR,1981,7.91114
United Kingdom,GBR,1982,7.787232
United Kingdom,GBR,1983,7.708611
United Kingdom,GBR,1984,7.730339
United Kingdom,GBR,1985,7.934777
United Kingdom,GBR,1986,7.471793
United Kingdom,GBR,1987,7.161623
United Kingdom,GBR,1988,7.735447
United Kingdom,GBR,1989,6.798954
United Kingdom,GBR,1990,7.277498
United Kingdom,GBR,1991,7.15409
United Kingdom,GBR,1992,7.251611
United Kingdom,GBR,1993,6.969402
United Kingdom,GBR,1994,6.824561
United Kingdom,GBR,1995,6.710214
United Kingdom,GBR,1996,6.430166
United Kingdom,GBR,1997,6.425081
United Kingdom,GBR,1998,6.826987
United Kingdom,GBR,1999,6.817769
United Kingdom,GBR,2000,6.589573
United Kingdom,GBR,2001,6.352021
United Kingdom,GBR,2002,6.370787
United Kingdom,GBR,2003,6.05577
United Kingdom,GBR,2004,6.271399
United Kingdom,GBR,2005,6.014659
