Entity,Code,Year,GDP,Growth_Rate_Per_Year(%),Growth_Rate_Per_Three_Year(%),Growth_Rate_Per_Five_Year(%)
United States,USA,1950,14655.01953,,,
United States,USA,1951,15421.36914,5.22926365558,,
United States,USA,1952,15721.4707,1.94601113089,,
United States,USA,1953,16225.5752,3.2064716439,10.7168446059,
United States,USA,1954,15856.2041,-2.27647461151,2.8196910148,
United States,USA,1955,16777.46484,5.81009637735,6.71689156918,14.4827190824
United States,USA,1956,16851.1543,0.439216894225,3.85551262306,9.27145409088
United States,USA,1957,16906.74023,0.329864227758,6.62539485097,7.53917717126
United States,USA,1958,16506.62695,-2.36659033354,-1.61429567925,1.7321527683
United States,USA,1959,17427.01758,5.5758855688,3.41735212762,9.90661743563
United States,USA,1960,17600.10547,0.993215788103,4.10111725009,4.90324752783
United States,USA,1961,17756.07422,0.886180769006,7.56936758663,5.37007675492
United States,USA,1962,18562.86328,4.54373556904,6.51772854871,9.79563787856
United States,USA,1963,19092.62891,2.85390040324,8.48019599964,15.6664469842
United States,USA,1964,19937.75195,4.42643621255,12.2869374332,14.4071374145
United States,USA,1965,21020.46094,5.43044668584,13.2393242515,19.4337214389
United States,USA,1966,22150.71484,5.37692252908,16.0171024347,24.7500689936
United States,USA,1967,22477.67383,1.47606518508,12.7392591019,21.0894757503
United States,USA,1968,23351.63672,3.88813760983,11.0900316918,22.3070789784
United States,USA,1969,23871.53906,2.22640642381,7.76870738678,19.730344323
United States,USA,1970,23608.00977,-1.10394763127,5.02870514337,12.3096674111
United States,USA,1971,24184.66992,2.44264618499,3.56734395104,9.18234510575
United States,USA,1972,25277.33203,4.51799471986,5.88899176742,12.455284391
United States,USA,1973,26517.38477,4.90578965584,12.3236775499,13.5568572257
United States,USA,1974,25799.77734,-2.70617723514,6.67822808971,8.07756163167
United States,USA,1975,25428.55273,-1.43886749528,0.598246285726,7.71154780829
United States,USA,1976,26688.13672,4.95342382783,0.643924547918,10.3514615179
United States,USA,1977,27646.29102,3.59018806765,7.15709153481,9.37187115788
United States,USA,1978,28964.14648,4.76684362125,13.9040305893,9.22700987002
United States,USA,1979,29495.74609,1.83537122479,10.520065149,14.3255839044
United States,USA,1980,28698.01563,-2.70456104947,3.80421594072,12.8574478253
United States,USA,1981,29244.25781,1.90341446267,0.967096787034,9.57774278818
United States,USA,1982,28394.65234,-2.90520441832,-3.73305949489,2.7069139924
United States,USA,1983,29589.06445,4.2064685128,3.10491440066,2.15755700045
United States,USA,1984,31698.14453,7.1279039037,8.39100358075,7.46683414374
United States,USA,1985,32756.17578,3.33783338327,15.3603692265,14.1409085643
United States,USA,1986,33510.23438,2.302034905,13.2520916186,14.5873989954
United States,USA,1987,34225.32031,2.13393294088,7.97262999924,20.5343876029
United States,USA,1988,35294.48047,3.12388649782,7.74908739973,19.2821778115
United States,USA,1989,36212.71094,2.60162625366,8.06463043306,14.2423680532
United States,USA,1990,36398.28516,0.512456027685,6.34899784814,11.1188479524
United States,USA,1991,35994.09766,-1.11045753453,1.98222832773,7.41225278174
United States,USA,1992,36954.6875,2.66874266185,2.04893955945,7.97470166905
United States,USA,1993,37721.94922,2.07622299607,3.63661104962,6.87775742177
United States,USA,1994,38976.59375,3.3260331344,8.28606989449,7.63235543061
United States,USA,1995,39621.07813,1.65351642612,7.21529746396,8.85424397285
United States,USA,1996,40775.05859,2.91254179458,8.09372111763,13.2826247658
United States,USA,1997,42282.60547,3.69722799214,8.48204371374,14.4174347842
United States,USA,1998,43901.62109,3.82903466332,10.8037013681,16.382164755
United States,USA,1999,45473.07422,3.57948770679,11.5217875644,16.6676454892
United States,USA,2000,46739.54688,2.78510455192,10.5408391003,17.9663681201
United States,USA,2001,46730.8125,-0.0186873441936,6.44438938644,14.6063650573
United States,USA,2002,47115.75781,0.823750517926,3.61243135235,11.4305925245
United States,USA,2003,47977.08984,1.82811880788,2.64774274166,9.28318510527
United States,USA,2004,49398.35938,2.96239214329,5.70832548653,8.63210862105
United States,USA,2005,50512.41016,2.25523842084,7.20916421147,8.07210067673
United States,USA,2006,51373.80078,1.70530492857,7.07986030693,9.93560358061
United States,USA,2007,51734.35938,0.701833608816,4.72890199051,9.80266854377
United States,USA,2008,50439.48828,-2.5029228457,-0.144364285468,5.13244644102
United States,USA,2009,48839.97266,-3.17115750882,-4.93214066612,-1.13037503069
United States,USA,2010,49596.15234,1.54828030979,-4.13305019261,-1.81392615616
United States,USA,2011,49908.57031,0.629923805093,-1.0525839736,-2.85209668694
United States,USA,2012,50752.125,1.69020006937,3.91513802293,-1.89861127454
United States,USA,2013,51317.20703,1.11341550723,3.47013751833,1.74014205919
United States,USA,2014,52292.28125,1.90009214537,4.77615552839,7.06861286355
